original_text,length,label_true,label_pred,confidence,is_correct,error_type
<TICKER> jpmorgan reels in expectations on beyond meat,14,0,0,0.84179807,True,None
<TICKER> <TICKER> nomura points to bookings weakness at carnival and royal caribbean,13,0,0,0.9860394,True,None
<TICKER> cemex cut at credit suisse j p morgan on weak building outlook,12,0,1,0.7083727,False,True_0_Pred_1
<TICKER> btig research cuts to neutral,12,0,0,0.9437784,True,None
<TICKER> funko slides after piper jaffray pt cut,12,0,1,0.7610126,False,True_0_Pred_1
<TICKER> technipfmc downgraded at berenberg but called top pick at deutsche bank,12,0,2,0.38125446,False,True_0_Pred_2
<TICKER> gm loses a bull,12,0,0,0.9389319,True,None
<TICKER> deutsche bank cuts to hold,10,0,0,0.87800676,True,None
<TICKER> cowen cuts to market perform,10,0,0,0.8193305,True,None
<TICKER> <TICKER> <TICKER> trendforce cuts iphone estimate after foxconn delay,10,0,0,0.86944634,True,None
<TICKER> moody s warns on harley davidson,9,0,0,0.94348234,True,None
<TICKER> citing aero ties wells slashes pt on hexcel,9,0,0,0.80459285,True,None
<TICKER> intelsat cut to market perform at raymond james,9,0,2,0.4980662,False,True_0_Pred_2
<TICKER> compass point cuts to sell,9,0,0,0.8384627,True,None
<TICKER> muddy waters goes short luckin coffee,9,0,0,0.9014662,True,None
<TICKER> mantech downgraded ahead of difficult comps,9,0,0,0.9910081,True,None
<TICKER> oppenheimer cuts to perform,8,0,1,0.8878984,False,True_0_Pred_1
<TICKER> <TICKER> mplx cut at credit suisse on potential dilution from marathon strategic review,8,0,0,0.9837838,True,None
<TICKER> imperial downgrades msg networks amid sports free airwaves,7,0,0,0.7928632,True,None
<TICKER> piper hits the materialise sidelines,7,0,0,0.51405513,True,None
<TICKER> hovde group cuts to market perform,7,0,0,0.9925282,True,None
<TICKER> new netflix bear steps out,7,0,0,0.8391054,True,None
<TICKER> shopify loses a bull,7,0,0,0.9488649,True,None
<TICKER> nomura instinet loses confidence in extended stay america,6,0,0,0.49349356,True,None
<TICKER> twilio gets street low target on virus risk,6,0,0,0.76960725,True,None
<TICKER> <TICKER> <TICKER> guggenheim s minerd sees more gloom ahead in stocks,6,0,1,0.49820942,False,True_0_Pred_1
<TICKER> <TICKER> <TICKER> moffettnathanson expects nfl tv costs to skyrocket,6,0,0,0.5517529,True,None
<TICKER> barrington research cuts to mkt perform,6,0,1,0.5418924,False,True_0_Pred_1
<TICKER> mizuho cuts xlnx target on near term headwinds,6,0,1,0.51313007,False,True_0_Pred_1
2u downgraded to sector weight from overweight at keybanc capital,5,0,0,0.4901076,True,None
alphabet and facebook price targets cut at barclays on weaker ad outlook,5,0,0,0.8602192,True,None
amc networks price target cut to 35 from 39 at imperial capital,5,0,1,0.5321743,False,True_0_Pred_1
american software downgraded to neutral from buy at b riley fbr,22,0,1,0.7215389,False,True_0_Pred_1
analysts question silicon motion s margin outlook,21,0,1,0.6683011,False,True_0_Pred_1
anchiano therapeutics downgraded to peer perform from outperform at oppenheimer,17,0,0,0.94198626,True,None
arch coal stock price target cut to 97 from 100 at b riley fbr,16,0,0,0.98101383,True,None
at t downgraded by moffettnathanson to sell on concern wireless can not carry the whole company,16,0,0,0.5346304,True,None
at t shares sink after moffettnathanson downgrade,14,0,0,0.9570035,True,None
at t stock falls after moffettnathanson downgrades saying dividend looks less compelling,14,0,0,0.8810502,True,None
aurora cannabis stock price target cut to c 1 00 from c 1 75 at stifel nicolaus,14,0,2,0.41421816,False,True_0_Pred_2
autodesk downgraded to underweight from neutral at jpmorgan,13,0,0,0.9765826,True,None
baml warns of profit pressure for hormel,13,0,0,0.9198686,True,None
barclays cools on molson coors,13,0,0,0.5190043,True,None
becton dickinson downgraded to outperform from strong buy at raymond james,12,0,0,0.9569719,True,None
becton dickinson downgraded to sector weight from overweight at keybanc capital,12,0,0,0.9835706,True,None
berry petroleum downgraded to market perform from outperform at bmo capital,12,0,2,0.38901937,False,True_0_Pred_2
berry petroleum downgraded to underweight from sector weight at keybanc capital,11,0,0,0.85787773,True,None
bluebird bio downgraded to in line from outperform at evercore isi,11,0,1,0.90272915,False,True_0_Pred_1
bluebird bio stock price target cut to 86 from 172 at evercore isi,11,0,0,0.6805448,True,None
canada goose downgraded to buy from strong buy at cfra,11,0,0,0.9587935,True,None
canada goose stock price target cut to 50 from 65 at cfra,11,0,0,0.9898207,True,None
children s place downgraded as e commerce puts margins at risk,11,0,0,0.8281807,True,None
children s place price target cut to 80 from 105 at monness crespi hardt,11,0,0,0.9907203,True,None
cinedigm corp analysts are cutting their estimates here s what you need to know,10,0,0,0.988282,True,None
clovis oncology stock price target cut to 8 from 12 at evercore isi,10,0,0,0.60509044,True,None
cumberland pharmaceuticals stock price target cut to 9 00 from 12 25 at b riley fbr,10,0,0,0.81761235,True,None
dell hpe targets trimmed on compute headwinds,10,0,1,0.57193506,False,True_0_Pred_1
dish may not be key winner amid intelsat woes analyst,8,0,0,0.9719623,True,None
disney downgraded as analyst says parks attendance could take 2 years to normalize,8,0,1,0.4690614,False,True_0_Pred_1
downgrades 11 25 <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER>,7,0,0,0.7594211,True,None
downgrades 4 7 <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER>,7,0,0,0.96396536,True,None
dropbox on watch after stinging spruce point report,7,0,0,0.7761872,True,None
earnings update electrocore inc just reported and analysts are trimming their forecasts,7,0,0,0.8659069,True,None
evercore downgrades bluebird bio and clovis in premarket analyst action,5,0,1,0.6123563,False,True_0_Pred_1
fannie mae freddie mac downgraded to sell as analyst cites unintended consequences of cares act,18,0,0,0.48150912,True,None
forescout downgraded to neutral from buy at monness crespi hardt,16,0,0,0.8865454,True,None
formfactor cut on unsustainable revenue outlook,15,0,0,0.9260802,True,None
funko downgraded to hold from buy at stifel nicolaus,14,0,0,0.91318184,True,None
funko stock price target cut to 10 from 25 at stifel nicolaus,13,0,0,0.55777764,True,None
gm stock price target cut to 30 from 32 at deutsche bank,13,0,1,0.7904053,False,True_0_Pred_1
grubhub gains a bear on margin view,13,0,0,0.9004979,True,None
h p downgraded at argus as drilling industry weakness seen persisting,13,0,0,0.9284101,True,None
hanesbrands stock price target cut to 13 vs 16 at bofa merrill lynch,13,0,0,0.97610325,True,None
helmerich payne started at sell with 34 stock price target at deutsche bank,12,0,0,0.9141328,True,None
hexo stock price target cut to c 5 from c 6 at mkm partners,12,0,0,0.9681521,True,None
home depot stock price target cut to 237 from 240 at instinet,12,0,0,0.95574063,True,None
intelsat downgraded to underweight from neutral at j p morgan,12,0,0,0.9558731,True,None
intelsat lower after morgan stanley target cut,12,0,0,0.8870041,True,None
jefferies warns on l brands,12,0,0,0.84677887,True,None
kohl s stock price target cut to 48 from 52 at deutsche bank,12,0,0,0.7811319,True,None
kohl s stock price target cut to 50 from 53 at wedbush,12,0,0,0.8174791,True,None
l brands stock price target cut to 16 from 20 at wedbush,11,0,0,0.98733306,True,None
lovesac stock price target cut to 28 vs 33 at canaccord,11,0,0,0.83971804,True,None
lyft stock price target cut to 58 from 70 at deutsche bank,11,0,0,0.6818974,True,None
macerich downgraded to underweight from sector weight at keybanc capital,11,0,0,0.9989324,True,None
