original_text,length,label_true,label_pred,confidence,is_correct,error_type
<TICKER> jpmorgan reels in expectations on beyond meat,14,0,0,0.5465366,True,None
<TICKER> <TICKER> nomura points to bookings weakness at carnival and royal caribbean,13,0,0,0.5734756,True,None
<TICKER> cemex cut at credit suisse j p morgan on weak building outlook,12,0,0,0.43659315,True,None
<TICKER> btig research cuts to neutral,12,0,0,0.56564385,True,None
<TICKER> funko slides after piper jaffray pt cut,12,0,0,0.4087288,True,None
<TICKER> technipfmc downgraded at berenberg but called top pick at deutsche bank,12,0,0,0.44910395,True,None
<TICKER> gm loses a bull,12,0,0,0.56338954,True,None
<TICKER> deutsche bank cuts to hold,10,0,0,0.55162483,True,None
<TICKER> cowen cuts to market perform,10,0,0,0.5344175,True,None
<TICKER> <TICKER> <TICKER> trendforce cuts iphone estimate after foxconn delay,10,0,0,0.551614,True,None
<TICKER> moody s warns on harley davidson,9,0,0,0.5649752,True,None
<TICKER> citing aero ties wells slashes pt on hexcel,9,0,0,0.53959966,True,None
<TICKER> intelsat cut to market perform at raymond james,9,0,0,0.44102547,True,None
<TICKER> compass point cuts to sell,9,0,0,0.54384536,True,None
<TICKER> muddy waters goes short luckin coffee,9,0,0,0.5518491,True,None
<TICKER> mantech downgraded ahead of difficult comps,9,0,0,0.5742143,True,None
<TICKER> oppenheimer cuts to perform,8,0,1,0.55439097,False,True_0_Pred_1
<TICKER> <TICKER> mplx cut at credit suisse on potential dilution from marathon strategic review,8,0,0,0.5730164,True,None
<TICKER> imperial downgrades msg networks amid sports free airwaves,7,0,0,0.53619736,True,None
<TICKER> piper hits the materialise sidelines,7,0,0,0.47592774,True,None
<TICKER> hovde group cuts to market perform,7,0,0,0.5744118,True,None
<TICKER> new netflix bear steps out,7,0,0,0.5442681,True,None
<TICKER> shopify loses a bull,7,0,0,0.5633964,True,None
<TICKER> nomura instinet loses confidence in extended stay america,6,0,0,0.4178993,True,None
<TICKER> twilio gets street low target on virus risk,6,0,0,0.50374043,True,None
<TICKER> <TICKER> <TICKER> guggenheim s minerd sees more gloom ahead in stocks,6,0,0,0.46214876,True,None
<TICKER> <TICKER> <TICKER> moffettnathanson expects nfl tv costs to skyrocket,6,0,0,0.46586788,True,None
<TICKER> barrington research cuts to mkt perform,6,0,0,0.44074893,True,None
<TICKER> mizuho cuts xlnx target on near term headwinds,6,0,0,0.43044207,True,None
2u downgraded to sector weight from overweight at keybanc capital,5,0,0,0.47350585,True,None
alphabet and facebook price targets cut at barclays on weaker ad outlook,5,0,0,0.546218,True,None
amc networks price target cut to 35 from 39 at imperial capital,5,0,0,0.46316993,True,None
american software downgraded to neutral from buy at b riley fbr,22,0,1,0.47252598,False,True_0_Pred_1
analysts question silicon motion s margin outlook,21,0,1,0.38891634,False,True_0_Pred_1
anchiano therapeutics downgraded to peer perform from outperform at oppenheimer,17,0,0,0.565252,True,None
arch coal stock price target cut to 97 from 100 at b riley fbr,16,0,0,0.57259256,True,None
at t downgraded by moffettnathanson to sell on concern wireless can not carry the whole company,16,0,0,0.48188707,True,None
at t shares sink after moffettnathanson downgrade,14,0,0,0.5662998,True,None
at t stock falls after moffettnathanson downgrades saying dividend looks less compelling,14,0,0,0.55072314,True,None
aurora cannabis stock price target cut to c 1 00 from c 1 75 at stifel nicolaus,14,0,0,0.38311836,True,None
autodesk downgraded to underweight from neutral at jpmorgan,13,0,0,0.5714455,True,None
baml warns of profit pressure for hormel,13,0,0,0.56031436,True,None
barclays cools on molson coors,13,0,0,0.48475367,True,None
becton dickinson downgraded to outperform from strong buy at raymond james,12,0,0,0.5678943,True,None
becton dickinson downgraded to sector weight from overweight at keybanc capital,12,0,0,0.572589,True,None
berry petroleum downgraded to market perform from outperform at bmo capital,12,0,0,0.39133108,True,None
berry petroleum downgraded to underweight from sector weight at keybanc capital,11,0,0,0.54799896,True,None
bluebird bio downgraded to in line from outperform at evercore isi,11,0,0,0.39967182,True,None
bluebird bio stock price target cut to 86 from 172 at evercore isi,11,0,0,0.51549137,True,None
canada goose downgraded to buy from strong buy at cfra,11,0,0,0.56823504,True,None
canada goose stock price target cut to 50 from 65 at cfra,11,0,0,0.5736596,True,None
children s place downgraded as e commerce puts margins at risk,11,0,0,0.5439112,True,None
children s place price target cut to 80 from 105 at monness crespi hardt,11,0,0,0.5739753,True,None
cinedigm corp analysts are cutting their estimates here s what you need to know,10,0,0,0.573718,True,None
clovis oncology stock price target cut to 8 from 12 at evercore isi,10,0,0,0.49882942,True,None
cumberland pharmaceuticals stock price target cut to 9 00 from 12 25 at b riley fbr,10,0,0,0.54059786,True,None
dell hpe targets trimmed on compute headwinds,10,0,0,0.46114826,True,None
dish may not be key winner amid intelsat woes analyst,8,0,0,0.5702894,True,None
disney downgraded as analyst says parks attendance could take 2 years to normalize,8,0,0,0.45952198,True,None
